date,county,state,fips,cases,deaths,new_cases,new_deaths
2020-03-20,Amador,California,6005.0,1,0,1.0,0.0
2020-03-21,Amador,California,6005.0,1,0,0.0,0.0
2020-03-22,Amador,California,6005.0,1,0,0.0,0.0
2020-03-23,Amador,California,6005.0,1,0,0.0,0.0
2020-03-24,Amador,California,6005.0,1,0,0.0,0.0
2020-03-25,Amador,California,6005.0,1,0,0.0,0.0
2020-03-26,Amador,California,6005.0,1,0,0.0,0.0
2020-03-27,Amador,California,6005.0,1,0,0.0,0.0
2020-03-28,Amador,California,6005.0,1,0,0.0,0.0
2020-03-29,Amador,California,6005.0,1,0,0.0,0.0
2020-03-30,Amador,California,6005.0,1,0,0.0,0.0
2020-03-31,Amador,California,6005.0,1,0,0.0,0.0
2020-04-01,Amador,California,6005.0,2,0,1.0,0.0
2020-04-02,Amador,California,6005.0,2,0,0.0,0.0
2020-04-03,Amador,California,6005.0,2,0,0.0,0.0
2020-04-04,Amador,California,6005.0,2,0,0.0,0.0
2020-04-05,Amador,California,6005.0,2,0,0.0,0.0
2020-04-06,Amador,California,6005.0,2,0,0.0,0.0
2020-04-07,Amador,California,6005.0,2,0,0.0,0.0
2020-04-08,Amador,California,6005.0,2,0,0.0,0.0
2020-04-09,Amador,California,6005.0,6,0,4.0,0.0
2020-04-10,Amador,California,6005.0,6,0,0.0,0.0
2020-04-11,Amador,California,6005.0,6,0,0.0,0.0
2020-04-12,Amador,California,6005.0,6,0,0.0,0.0
2020-04-13,Amador,California,6005.0,6,0,0.0,0.0
2020-04-14,Amador,California,6005.0,6,0,0.0,0.0
2020-04-15,Amador,California,6005.0,6,0,0.0,0.0
2020-04-16,Amador,California,6005.0,6,0,0.0,0.0
2020-04-17,Amador,California,6005.0,6,0,0.0,0.0
2020-04-18,Amador,California,6005.0,6,0,0.0,0.0
2020-04-19,Amador,California,6005.0,6,0,0.0,0.0
2020-04-20,Amador,California,6005.0,6,0,0.0,0.0
2020-04-21,Amador,California,6005.0,7,0,1.0,0.0
2020-04-22,Amador,California,6005.0,7,0,0.0,0.0
2020-04-23,Amador,California,6005.0,7,0,0.0,0.0
2020-04-24,Amador,California,6005.0,7,0,0.0,0.0
2020-04-25,Amador,California,6005.0,7,0,0.0,0.0
2020-04-26,Amador,California,6005.0,7,0,0.0,0.0
2020-04-27,Amador,California,6005.0,7,0,0.0,0.0
2020-04-28,Amador,California,6005.0,7,0,0.0,0.0
2020-04-29,Amador,California,6005.0,7,0,0.0,0.0
2020-04-30,Amador,California,6005.0,7,0,0.0,0.0
2020-05-01,Amador,California,6005.0,7,0,0.0,0.0
2020-05-02,Amador,California,6005.0,7,0,0.0,0.0
2020-05-03,Amador,California,6005.0,7,0,0.0,0.0
2020-05-04,Amador,California,6005.0,7,0,0.0,0.0
2020-05-05,Amador,California,6005.0,7,0,0.0,0.0
