date,county,state,fips,cases,deaths,new_cases,new_deaths
2020-03-28,Glenn,California,6021.0,1,0,1.0,0.0
2020-03-29,Glenn,California,6021.0,1,0,0.0,0.0
2020-03-30,Glenn,California,6021.0,2,0,1.0,0.0
2020-03-31,Glenn,California,6021.0,2,0,0.0,0.0
2020-04-01,Glenn,California,6021.0,2,0,0.0,0.0
2020-04-02,Glenn,California,6021.0,2,0,0.0,0.0
2020-04-03,Glenn,California,6021.0,2,0,0.0,0.0
2020-04-04,Glenn,California,6021.0,2,0,0.0,0.0
2020-04-05,Glenn,California,6021.0,2,0,0.0,0.0
2020-04-06,Glenn,California,6021.0,2,0,0.0,0.0
2020-04-07,Glenn,California,6021.0,2,0,0.0,0.0
2020-04-08,Glenn,California,6021.0,2,0,0.0,0.0
2020-04-09,Glenn,California,6021.0,2,0,0.0,0.0
2020-04-10,Glenn,California,6021.0,3,0,1.0,0.0
2020-04-11,Glenn,California,6021.0,3,0,0.0,0.0
2020-04-12,Glenn,California,6021.0,3,0,0.0,0.0
2020-04-13,Glenn,California,6021.0,4,0,1.0,0.0
2020-04-14,Glenn,California,6021.0,4,0,0.0,0.0
2020-04-15,Glenn,California,6021.0,4,0,0.0,0.0
2020-04-16,Glenn,California,6021.0,4,0,0.0,0.0
2020-04-17,Glenn,California,6021.0,4,0,0.0,0.0
2020-04-18,Glenn,California,6021.0,4,0,0.0,0.0
2020-04-19,Glenn,California,6021.0,4,0,0.0,0.0
2020-04-20,Glenn,California,6021.0,4,0,0.0,0.0
2020-04-21,Glenn,California,6021.0,4,0,0.0,0.0
2020-04-22,Glenn,California,6021.0,4,0,0.0,0.0
2020-04-23,Glenn,California,6021.0,5,0,1.0,0.0
2020-04-24,Glenn,California,6021.0,5,0,0.0,0.0
2020-04-25,Glenn,California,6021.0,5,0,0.0,0.0
2020-04-26,Glenn,California,6021.0,5,0,0.0,0.0
2020-04-27,Glenn,California,6021.0,5,0,0.0,0.0
2020-04-28,Glenn,California,6021.0,5,0,0.0,0.0
2020-04-29,Glenn,California,6021.0,5,0,0.0,0.0
2020-04-30,Glenn,California,6021.0,5,0,0.0,0.0
2020-05-01,Glenn,California,6021.0,5,0,0.0,0.0
2020-05-02,Glenn,California,6021.0,5,0,0.0,0.0
2020-05-03,Glenn,California,6021.0,5,0,0.0,0.0
2020-05-04,Glenn,California,6021.0,5,0,0.0,0.0
2020-05-05,Glenn,California,6021.0,5,0,0.0,0.0
2020-05-06,Glenn,California,6021.0,5,0,0.0,0.0
2020-05-07,Glenn,California,6021.0,6,0,1.0,0.0
2020-05-08,Glenn,California,6021.0,6,0,0.0,0.0
2020-05-09,Glenn,California,6021.0,6,0,0.0,0.0
