date,county,state,fips,cases,deaths,new_cases,new_deaths
2020-02-26,Sonoma,California,6097.0,1,0,1.0,0.0
2020-02-27,Sonoma,California,6097.0,1,0,0.0,0.0
2020-02-28,Sonoma,California,6097.0,1,0,0.0,0.0
2020-02-29,Sonoma,California,6097.0,1,0,0.0,0.0
2020-03-01,Sonoma,California,6097.0,1,0,0.0,0.0
2020-03-02,Sonoma,California,6097.0,2,0,1.0,0.0
2020-03-03,Sonoma,California,6097.0,2,0,0.0,0.0
2020-03-04,Sonoma,California,6097.0,3,0,1.0,0.0
2020-03-05,Sonoma,California,6097.0,3,0,0.0,0.0
2020-03-06,Sonoma,California,6097.0,3,0,0.0,0.0
2020-03-07,Sonoma,California,6097.0,3,0,0.0,0.0
2020-03-08,Sonoma,California,6097.0,3,0,0.0,0.0
2020-03-09,Sonoma,California,6097.0,3,0,0.0,0.0
2020-03-10,Sonoma,California,6097.0,3,0,0.0,0.0
2020-03-11,Sonoma,California,6097.0,3,0,0.0,0.0
2020-03-12,Sonoma,California,6097.0,3,0,0.0,0.0
2020-03-13,Sonoma,California,6097.0,3,0,0.0,0.0
2020-03-14,Sonoma,California,6097.0,4,0,1.0,0.0
2020-03-15,Sonoma,California,6097.0,5,0,1.0,0.0
2020-03-16,Sonoma,California,6097.0,8,0,3.0,0.0
2020-03-17,Sonoma,California,6097.0,9,0,1.0,0.0
2020-03-18,Sonoma,California,6097.0,9,0,0.0,0.0
2020-03-19,Sonoma,California,6097.0,11,0,2.0,0.0
2020-03-20,Sonoma,California,6097.0,11,1,0.0,1.0
2020-03-21,Sonoma,California,6097.0,11,1,0.0,0.0
2020-03-22,Sonoma,California,6097.0,11,1,0.0,0.0
2020-03-23,Sonoma,California,6097.0,29,1,18.0,0.0
2020-03-24,Sonoma,California,6097.0,34,1,5.0,0.0
2020-03-25,Sonoma,California,6097.0,39,1,5.0,0.0
2020-03-26,Sonoma,California,6097.0,49,1,10.0,0.0
2020-03-27,Sonoma,California,6097.0,50,1,1.0,0.0
2020-03-28,Sonoma,California,6097.0,50,1,0.0,0.0
2020-03-29,Sonoma,California,6097.0,57,1,7.0,0.0
2020-03-30,Sonoma,California,6097.0,73,1,16.0,0.0
2020-03-31,Sonoma,California,6097.0,85,1,12.0,0.0
2020-04-01,Sonoma,California,6097.0,91,1,6.0,0.0
2020-04-02,Sonoma,California,6097.0,95,1,4.0,0.0
2020-04-03,Sonoma,California,6097.0,100,1,5.0,0.0
2020-04-04,Sonoma,California,6097.0,105,1,5.0,0.0
2020-04-05,Sonoma,California,6097.0,107,1,2.0,0.0
2020-04-06,Sonoma,California,6097.0,115,1,8.0,0.0
2020-04-07,Sonoma,California,6097.0,120,1,5.0,0.0
2020-04-08,Sonoma,California,6097.0,123,1,3.0,0.0
2020-04-09,Sonoma,California,6097.0,136,1,13.0,0.0
2020-04-10,Sonoma,California,6097.0,145,2,9.0,1.0
2020-04-11,Sonoma,California,6097.0,145,2,0.0,0.0
2020-04-12,Sonoma,California,6097.0,147,2,2.0,0.0
2020-04-13,Sonoma,California,6097.0,152,2,5.0,0.0
2020-04-14,Sonoma,California,6097.0,160,2,8.0,0.0
2020-04-15,Sonoma,California,6097.0,163,2,3.0,0.0
2020-04-16,Sonoma,California,6097.0,172,2,9.0,0.0
2020-04-17,Sonoma,California,6097.0,180,2,8.0,0.0
2020-04-18,Sonoma,California,6097.0,180,2,0.0,0.0
2020-04-19,Sonoma,California,6097.0,181,2,1.0,0.0
2020-04-20,Sonoma,California,6097.0,182,2,1.0,0.0
2020-04-21,Sonoma,California,6097.0,192,2,10.0,0.0
2020-04-22,Sonoma,California,6097.0,194,2,2.0,0.0
2020-04-23,Sonoma,California,6097.0,216,2,22.0,0.0
2020-04-24,Sonoma,California,6097.0,217,2,1.0,0.0
2020-04-25,Sonoma,California,6097.0,218,2,1.0,0.0
2020-04-26,Sonoma,California,6097.0,220,2,2.0,0.0
2020-04-27,Sonoma,California,6097.0,222,2,2.0,0.0
2020-04-28,Sonoma,California,6097.0,228,2,6.0,0.0
2020-04-29,Sonoma,California,6097.0,232,2,4.0,0.0
2020-04-30,Sonoma,California,6097.0,244,2,12.0,0.0
2020-05-01,Sonoma,California,6097.0,248,3,4.0,1.0
2020-05-02,Sonoma,California,6097.0,252,3,4.0,0.0
2020-05-03,Sonoma,California,6097.0,257,3,5.0,0.0
2020-05-04,Sonoma,California,6097.0,261,4,4.0,1.0
2020-05-05,Sonoma,California,6097.0,261,4,0.0,0.0
2020-05-06,Sonoma,California,6097.0,286,4,25.0,0.0
2020-05-07,Sonoma,California,6097.0,292,4,6.0,0.0
2020-05-08,Sonoma,California,6097.0,300,4,8.0,0.0
2020-05-09,Sonoma,California,6097.0,309,4,9.0,0.0
2020-05-10,Sonoma,California,6097.0,309,4,0.0,0.0
