date,county,state,fips,cases,deaths,new_cases
2020-03-01,Alameda,California,6001.0,1,0,1.0
2020-03-02,Alameda,California,6001.0,1,0,0.0
2020-03-03,Alameda,California,6001.0,2,0,1.0
2020-03-04,Alameda,California,6001.0,2,0,0.0
2020-03-05,Alameda,California,6001.0,2,0,0.0
2020-03-06,Alameda,California,6001.0,3,0,1.0
2020-03-07,Alameda,California,6001.0,3,0,0.0
2020-03-08,Alameda,California,6001.0,3,0,0.0
2020-03-09,Alameda,California,6001.0,24,0,21.0
2020-03-10,Alameda,California,6001.0,25,0,1.0
2020-03-11,Alameda,California,6001.0,25,0,0.0
2020-03-12,Alameda,California,6001.0,29,0,4.0
2020-03-13,Alameda,California,6001.0,29,0,0.0
2020-03-14,Alameda,California,6001.0,29,0,0.0
2020-03-15,Alameda,California,6001.0,37,0,8.0
2020-03-16,Alameda,California,6001.0,40,0,3.0
2020-03-17,Alameda,California,6001.0,49,0,9.0
2020-03-18,Alameda,California,6001.0,53,0,4.0
2020-03-19,Alameda,California,6001.0,57,0,4.0
2020-03-20,Alameda,California,6001.0,67,0,10.0
2020-03-21,Alameda,California,6001.0,87,0,20.0
2020-03-22,Alameda,California,6001.0,127,0,40.0
2020-03-23,Alameda,California,6001.0,139,1,12.0
2020-03-24,Alameda,California,6001.0,151,2,12.0
2020-03-25,Alameda,California,6001.0,156,2,5.0
2020-03-26,Alameda,California,6001.0,199,4,43.0
2020-03-27,Alameda,California,6001.0,241,4,42.0
2020-03-28,Alameda,California,6001.0,277,6,36.0
2020-03-29,Alameda,California,6001.0,291,6,14.0
2020-03-30,Alameda,California,6001.0,304,7,13.0
2020-03-31,Alameda,California,6001.0,334,7,30.0
2020-04-01,Alameda,California,6001.0,380,8,46.0
2020-04-02,Alameda,California,6001.0,417,9,37.0
2020-04-03,Alameda,California,6001.0,464,12,47.0
2020-04-04,Alameda,California,6001.0,464,12,0.0
2020-04-05,Alameda,California,6001.0,587,12,123.0
2020-04-06,Alameda,California,6001.0,609,13,22.0
2020-04-07,Alameda,California,6001.0,655,15,46.0
2020-04-08,Alameda,California,6001.0,695,16,40.0
2020-04-09,Alameda,California,6001.0,734,17,39.0
2020-04-10,Alameda,California,6001.0,766,20,32.0
2020-04-11,Alameda,California,6001.0,827,21,61.0
2020-04-12,Alameda,California,6001.0,864,23,37.0
2020-04-13,Alameda,California,6001.0,907,23,43.0
2020-04-14,Alameda,California,6001.0,908,23,1.0
2020-04-15,Alameda,California,6001.0,983,36,75.0
2020-04-16,Alameda,California,6001.0,1069,40,86.0
2020-04-17,Alameda,California,6001.0,1084,40,15.0
2020-04-18,Alameda,California,6001.0,1135,41,51.0
2020-04-19,Alameda,California,6001.0,1185,42,50.0
2020-04-20,Alameda,California,6001.0,1212,42,27.0
2020-04-21,Alameda,California,6001.0,1260,43,48.0
2020-04-22,Alameda,California,6001.0,1260,43,0.0
2020-04-23,Alameda,California,6001.0,1350,48,90.0
2020-04-24,Alameda,California,6001.0,1422,48,72.0
2020-04-25,Alameda,California,6001.0,1458,52,36.0
2020-04-26,Alameda,California,6001.0,1489,52,31.0
2020-04-27,Alameda,California,6001.0,1519,56,30.0
2020-04-28,Alameda,California,6001.0,1554,59,35.0
2020-04-29,Alameda,California,6001.0,1589,59,35.0
2020-04-30,Alameda,California,6001.0,1624,63,35.0
2020-05-01,Alameda,California,6001.0,1657,63,33.0
2020-05-02,Alameda,California,6001.0,1726,63,69.0
2020-05-03,Alameda,California,6001.0,1770,63,44.0
2020-05-04,Alameda,California,6001.0,1797,65,27.0
2020-05-05,Alameda,California,6001.0,1830,66,33.0
2020-05-06,Alameda,California,6001.0,1884,69,54.0
2020-05-07,Alameda,California,6001.0,1938,69,54.0
2020-05-08,Alameda,California,6001.0,1982,70,44.0
2020-05-09,Alameda,California,6001.0,2044,72,62.0
2020-05-10,Alameda,California,6001.0,2085,75,41.0
2020-05-11,Alameda,California,6001.0,2122,75,37.0
2020-05-12,Alameda,California,6001.0,2154,75,32.0
2020-05-13,Alameda,California,6001.0,2199,80,45.0
2020-05-14,Alameda,California,6001.0,2202,80,3.0
2020-05-15,Alameda,California,6001.0,2321,84,119.0
2020-05-16,Alameda,California,6001.0,2372,85,51.0
2020-05-17,Alameda,California,6001.0,2413,85,41.0
2020-05-18,Alameda,California,6001.0,2478,85,65.0
2020-05-19,Alameda,California,6001.0,2543,88,65.0
