date,county,state,fips,cases,deaths,new_cases
2020-03-27,Kings,California,6031.0,1,0,1.0
2020-03-28,Kings,California,6031.0,1,0,0.0
2020-03-29,Kings,California,6031.0,2,0,1.0
2020-03-30,Kings,California,6031.0,3,0,1.0
2020-03-31,Kings,California,6031.0,4,0,1.0
2020-04-01,Kings,California,6031.0,4,0,0.0
2020-04-02,Kings,California,6031.0,5,0,1.0
2020-04-03,Kings,California,6031.0,5,0,0.0
2020-04-04,Kings,California,6031.0,5,0,0.0
2020-04-05,Kings,California,6031.0,5,0,0.0
2020-04-06,Kings,California,6031.0,5,0,0.0
2020-04-07,Kings,California,6031.0,5,0,0.0
2020-04-08,Kings,California,6031.0,7,0,2.0
2020-04-09,Kings,California,6031.0,7,0,0.0
2020-04-10,Kings,California,6031.0,9,0,2.0
2020-04-11,Kings,California,6031.0,10,1,1.0
2020-04-12,Kings,California,6031.0,10,1,0.0
2020-04-13,Kings,California,6031.0,12,1,2.0
2020-04-14,Kings,California,6031.0,13,1,1.0
2020-04-15,Kings,California,6031.0,13,1,0.0
2020-04-16,Kings,California,6031.0,18,1,5.0
2020-04-17,Kings,California,6031.0,20,1,2.0
2020-04-18,Kings,California,6031.0,28,1,8.0
2020-04-19,Kings,California,6031.0,30,1,2.0
2020-04-20,Kings,California,6031.0,30,1,0.0
2020-04-21,Kings,California,6031.0,32,1,2.0
2020-04-22,Kings,California,6031.0,32,1,0.0
2020-04-23,Kings,California,6031.0,35,1,3.0
2020-04-24,Kings,California,6031.0,47,1,12.0
2020-04-25,Kings,California,6031.0,52,1,5.0
2020-04-26,Kings,California,6031.0,67,1,15.0
2020-04-27,Kings,California,6031.0,71,1,4.0
2020-04-28,Kings,California,6031.0,79,1,8.0
2020-04-29,Kings,California,6031.0,96,1,17.0
2020-04-30,Kings,California,6031.0,96,1,0.0
2020-05-01,Kings,California,6031.0,123,1,27.0
2020-05-02,Kings,California,6031.0,158,1,35.0
2020-05-03,Kings,California,6031.0,172,1,14.0
2020-05-04,Kings,California,6031.0,172,1,0.0
2020-05-05,Kings,California,6031.0,211,1,39.0
2020-05-06,Kings,California,6031.0,233,1,22.0
2020-05-07,Kings,California,6031.0,244,1,11.0
2020-05-08,Kings,California,6031.0,265,1,21.0
2020-05-09,Kings,California,6031.0,275,1,10.0
2020-05-10,Kings,California,6031.0,287,1,12.0
2020-05-11,Kings,California,6031.0,319,1,32.0
2020-05-12,Kings,California,6031.0,325,1,6.0
2020-05-13,Kings,California,6031.0,348,1,23.0
